"zip","city","county","stateCode","population","state"
32953,"Merritt Island","Brevard County","FL",24924,"Florida"
32763,"Orange City","Volusia County","FL",24852,"Florida"
33062,"Pompano Beach","Broward County","FL",24805,"Florida"
33950,"Punta Gorda","Charlotte County","FL",24702,"Florida"
33067,"Pompano Beach","Broward County","FL",24696,"Florida"
34110,"Naples","Collier County","FL",24584,"Florida"
33189,"Miami","Miami-Dade County","FL",24575,"Florida"
33542,"Zephyrhills","Pasco County","FL",24573,"Florida"
32701,"Altamonte Springs","Seminole County","FL",24551,"Florida"
34715,"Clermont","Lake County","FL",24484,"Florida"
34113,"Naples","Collier County","FL",24413,"Florida"
32081,"Ponte Vedra","St. Johns County","FL",24368,"Florida"
32778,"Tavares","Lake County","FL",24317,"Florida"
33901,"Fort Myers","Lee County","FL",24284,"Florida"
34104,"Naples","Collier County","FL",24269,"Florida"
33607,"Tampa","Hillsborough County","FL",24257,"Florida"
33709,"Saint Petersburg","Pinellas County","FL",24120,"Florida"
34481,"Ocala","Marion County","FL",24113,"Florida"
32233,"Atlantic Beach","Duval County","FL",24041,"Florida"
32960,"Vero Beach","Indian River County","FL",23961,"Florida"
33572,"Apollo Beach","Hillsborough County","FL",23846,"Florida"
33426,"Boynton Beach","Palm Beach County","FL",23781,"Florida"
33034,"Homestead","Miami-Dade County","FL",23774,"Florida"
34212,"Bradenton","Manatee County","FL",23754,"Florida"
33327,"Fort Lauderdale","Broward County","FL",23734,"Florida"
34654,"New Port Richey","Pasco County","FL",23727,"Florida"
33782,"Pinellas Park","Pinellas County","FL",23723,"Florida"
32836,"Orlando","Orange County","FL",23708,"Florida"
33772,"Seminole","Pinellas County","FL",23664,"Florida"
32726,"Eustis","Lake County","FL",23661,"Florida"
34974,"Okeechobee","Glades County","FL",23601,"Florida"
32548,"Fort Walton Beach","Okaloosa County","FL",23575,"Florida"
33444,"Delray Beach","Palm Beach County","FL",23569,"Florida"
33496,"Boca Raton","Palm Beach County","FL",23549,"Florida"
32129,"Port Orange","Volusia County","FL",23543,"Florida"
33168,"Miami","Miami-Dade County","FL",23458,"Florida"
32606,"Gainesville","Alachua County","FL",23317,"Florida"
33541,"Zephyrhills","Pasco County","FL",23224,"Florida"
32025,"Lake City","Columbia County","FL",23193,"Florida"
32308,"Tallahassee","Leon County","FL",23125,"Florida"
34601,"Brooksville","Hernando County","FL",23054,"Florida"
33486,"Boca Raton","Palm Beach County","FL",22991,"Florida"
34480,"Ocala","Marion County","FL",22956,"Florida"
32119,"Daytona Beach","Volusia County","FL",22935,"Florida"
33634,"Tampa","Hillsborough County","FL",22927,"Florida"
34473,"Ocala","Marion County","FL",22902,"Florida"
33566,"Plant City","Hillsborough County","FL",22842,"Florida"
33167,"Miami","Miami-Dade County","FL",22823,"Florida"
32751,"Maitland","Orange County","FL",22815,"Florida"
34482,"Ocala","Marion County","FL",22755,"Florida"
34677,"Oldsmar","Pinellas County","FL",22634,"Florida"
33606,"Tampa","Hillsborough County","FL",22546,"Florida"
32601,"Gainesville","Alachua County","FL",22544,"Florida"
33131,"Miami","Miami-Dade County","FL",22540,"Florida"
34957,"Jensen Beach","Martin County","FL",22523,"Florida"
33935,"Labelle","Hendry County","FL",22521,"Florida"
33323,"Fort Lauderdale","Broward County","FL",22506,"Florida"
32060,"Live Oak","Suwannee County","FL",22505,"Florida"
33431,"Boca Raton","Palm Beach County","FL",22488,"Florida"
32713,"Debary","Volusia County","FL",22430,"Florida"
33903,"North Fort Myers","Lee County","FL",22430,"Florida"
34238,"Sarasota","Sarasota County","FL",22426,"Florida"
34788,"Leesburg","Lake County","FL",22414,"Florida"
32926,"Cocoa","Brevard County","FL",22379,"Florida"
32803,"Orlando","Orange County","FL",22067,"Florida"
32128,"Port Orange","Volusia County","FL",21829,"Florida"
32097,"Yulee","Nassau County","FL",21778,"Florida"
32504,"Pensacola","Escambia County","FL",21710,"Florida"
34234,"Sarasota","Sarasota County","FL",21621,"Florida"
32444,"Lynn Haven","Bay County","FL",21564,"Florida"
33487,"Boca Raton","Palm Beach County","FL",21504,"Florida"
33852,"Lake Placid","Highlands County","FL",21394,"Florida"
33763,"Clearwater","Pinellas County","FL",21272,"Florida"
33432,"Boca Raton","Palm Beach County","FL",21270,"Florida"
33434,"Boca Raton","Palm Beach County","FL",21214,"Florida"
32080,"Saint Augustine","St. Johns County","FL",21167,"Florida"
33455,"Hobe Sound","Martin County","FL",20936,"Florida"
34470,"Ocala","Marion County","FL",20903,"Florida"
33184,"Miami","Miami-Dade County","FL",20850,"Florida"
32796,"Titusville","Brevard County","FL",20757,"Florida"
34114,"Naples","Collier County","FL",20716,"Florida"
34275,"Nokomis","Sarasota County","FL",20692,"Florida"
32952,"Merritt Island","Brevard County","FL",20666,"Florida"
34286,"North Port","Sarasota County","FL",20571,"Florida"
32459,"Santa Rosa Beach","Walton County","FL",20558,"Florida"
32804,"Orlando","Orange County","FL",20542,"Florida"
33896,"Davenport","Osceola County","FL",20528,"Florida"
33430,"Belle Glade","Palm Beach County","FL",20503,"Florida"
33181,"Miami","Miami-Dade County","FL",20448,"Florida"
32311,"Tallahassee","Leon County","FL",20442,"Florida"
33760,"Clearwater","Pinellas County","FL",20401,"Florida"
33405,"West Palm Beach","Palm Beach County","FL",20377,"Florida"
33714,"Saint Petersburg","Pinellas County","FL",20370,"Florida"
32305,"Tallahassee","Leon County","FL",20265,"Florida"
32217,"Jacksonville","Duval County","FL",20219,"Florida"
32024,"Lake City","Columbia County","FL",20155,"Florida"
32821,"Orlando","Orange County","FL",20034,"Florida"
33635,"Tampa","Hillsborough County","FL",19917,"Florida"
34691,"Holiday","Pasco County","FL",19868,"Florida"
33440,"Clewiston","Hendry County","FL",19800,"Florida"
33140,"Miami Beach","Miami-Dade County","FL",19785,"Florida"
33774,"Largo","Pinellas County","FL",19629,"Florida"
33603,"Tampa","Hillsborough County","FL",19545,"Florida"
32966,"Vero Beach","Indian River County","FL",19419,"Florida"
34474,"Ocala","Marion County","FL",19380,"Florida"
33912,"Fort Myers","Lee County","FL",19370,"Florida"
32829,"Orlando","Orange County","FL",19353,"Florida"
33187,"Miami","Miami-Dade County","FL",19346,"Florida"
33559,"Lutz","Hillsborough County","FL",19226,"Florida"
33974,"Lehigh Acres","Lee County","FL",19218,"Florida"
34117,"Naples","Collier County","FL",19218,"Florida"
33525,"Dade City","Pasco County","FL",19186,"Florida"
34233,"Sarasota","Sarasota County","FL",19179,"Florida"
34223,"Englewood","Sarasota County","FL",19116,"Florida"
34972,"Okeechobee","Okeechobee County","FL",19112,"Florida"
33716,"Saint Petersburg","Pinellas County","FL",18987,"Florida"
32609,"Gainesville","Alachua County","FL",18983,"Florida"
33304,"Fort Lauderdale","Broward County","FL",18923,"Florida"
32226,"Jacksonville","Duval County","FL",18892,"Florida"
33472,"Boynton Beach","Palm Beach County","FL",18881,"Florida"
33523,"Dade City","Pasco County","FL",18867,"Florida"
33408,"North Palm Beach","Palm Beach County","FL",18839,"Florida"
34285,"Venice","Sarasota County","FL",18791,"Florida"
